1998-2016,Leatherback ,Green ,Loggerhead ,Flatback,Hawksbill ,Kemps,Olive Ridley 
Brood size,80,110,112.4,50,140,102,105
mass,46.4,25.7,20.3,18.6,17.5,18.9,10.2
ANestTemp(C),30.2,29.5,28.9,29.6,31.5,30.8,32.1
ANestTemp(F),86.36,85.1,84.02,85.28,88.7,87.44,89.78
M-Fratio,0.38,0.52,0.11,0.59,0.23,0.39,0.17
ApMales,30.4,57.2,12.364,29.5,32.2,39.78,17.85
ApFemales,49.6,52.8,100.036,20.5,107.8,62.22,87.15
MATemp(C),30.883,29.925,29.951,30.214,32.776,31.384,33.225
MATemp(F),87.5894,85.865,85.9118,86.3852,90.9968,88.4912,91.805
TempVar,2.64,4.35,1.91,3.62,2.44,1.86,3.97
,,,,,,,
1998-2008,Leatherback ,Green ,Loggerhead ,Flatback,Hawksbill ,Kemps,Olive Ridley 
Brood size,80,105,110,50,150,110,105
mass,48.5,26.1,20.3,18.2,20.6,19.9,10.5
ANestTemp(C),30.1,29.3,27.8,29.5,30.9,28.9,32.2
ANestTemp(F),86.18,84.74,82.04,85.1,87.62,84.02,89.96
M-Fratio,0.45,0.59,0.23,0.61,0.38,0.39,0.23
ApMales,36,61.95,25.3,30.5,57,42.9,24.15
ApFemales,44,43.05,84.7,19.5,93,67.1,80.85
MATemp(C),29.741,29.334,29.442,30.114,32.746,30.887,32.996
MATemp(F),85.5338,84.8012,84.9956,86.2052,90.9428,87.5966,91.3928
TempVar,2.33,1.95,1.5,4.2,2.55,1.22,3.12
,,,,,,,
2008-2016,Leatherback ,Green ,Loggerhead ,Flatback,Hawksbill ,Kemps,Olive Ridley 
Brood size,80,110,115,50,132,100,105
mass,46.2,25.4,20.4,19.7,17.5,18.3,10.1
ANestTemp(C),30.5,29.7,30.1,30.5,32.6,31.4,31.3
ANestTemp(F),86.9,85.46,86.18,86.9,90.68,88.52,88.34
M-Fratio,0.39,0.51,0.09,0.54,0.2,0.37,0.15
ApMales,31.2,56.1,10.35,27,26.4,37,15.75
ApFemales,48.8,53.9,104.65,23,105.6,63,89.25
MATemp(C),30.997,30.124,30.478,32.178,32.889,31.442,33.279
MATemp(F),87.7946,86.2232,86.8604,89.9204,91.2002,88.5956,91.9022
TempVar,2.66,5.33,2.43,3.1,3.55,2.51,4.23
